# I energy_spread Eo(eV) omega_s To R sigma_z td
# 0.00044 0.001017 2.75e+09 9217.43 1.181e-06 5.36 0.00145 0.00327
# resistance : 0 inductance : 0
# nq Lq dq np Lp dp
# 480 20 0.0416667 480 20 0.0416667
# nt ntint ntot t1 t2 dt
# 8000 10 80000 0 63.118 0.000788975
# bolometer cutoff : 2.5 cm-1
# t aire val.moy rms_z rms_E thz thz_lp thz_hp thz_lp_hp thz_lp_hp2 feedback DiffWithCI numprocs numthreads niter wc_time
0.32348 1 0.000266364 1.20525 1.18852 0.147543 0.311288 0.142409 0.310242 0 0 0 1 1 410 4.48219
0.33137 1 0.00027887 1.20549 1.18815 0.144376 0.309656 0.139172 0.308569 0 0 0 1 1 420 4.59132
0.339259 1 0.000291624 1.20573 1.18778 0.141483 0.30801 0.136211 0.306882 0 0 0 1 1 430 4.70049
0.347149 1 0.000304623 1.20598 1.18741 0.138861 0.306354 0.133522 0.305185 0 0 0 1 1 440 4.80966
0.355039 1 0.000317866 1.20624 1.18703 0.136507 0.304689 0.131103 0.303479 0 0 0 1 1 450 4.91878
0.362928 1 0.000331349 1.2065 1.18665 0.134416 0.303019 0.128947 0.301767 0 0 0 1 1 460 5.02806
0.370818 1 0.000345069 1.20676 1.18627 0.132583 0.301346 0.12705 0.300052 0 0 0 1 1 470 5.13731
0.378708 1 0.000359025 1.20702 1.18588 0.130999 0.299674 0.125405 0.298337 0 0 0 1 1 480 5.24647
0.386598 1 0.000373214 1.20729 1.18549 0.129658 0.298003 0.124002 0.296624 0 0 0 1 1 490 5.35559
0.394487 1 0.000387633 1.20757 1.1851 0.128551 0.296337 0.122833 0.294915 0 0 0 1 1 500 5.46471
0.402377 1 0.000402279 1.20784 1.1847 0.127667 0.294677 0.121888 0.293213 0 0 0 1 1 510 5.57387
0.410267 1 0.000417151 1.20812 1.1843 0.126996 0.293027 0.121158 0.29152 0 0 0 1 1 520 5.683
0.418157 1 0.000432246 1.2084 1.18389 0.126527 0.291387 0.120629 0.289837 0 0 0 1 1 530 5.79211
0.426046 1 0.000447562 1.20869 1.18349 0.12625 0.289759 0.120292 0.288166 0 0 0 1 1 540 5.9012
0.433936 1 0.000463095 1.20898 1.18308 0.12615 0.288146 0.120133 0.28651 0 0 0 1 1 550 6.01032
0.441826 1 0.000478845 1.20927 1.18266 0.126217 0.286549 0.12014 0.284869 0 0 0 1 1 560 6.11944
0.449716 1 0.000494807 1.20957 1.18225 0.126437 0.284969 0.1203 0.283246 0 0 0 1 1 570 6.22883
0.457605 1 0.000510981 1.20987 1.18183 0.126798 0.283408 0.120601 0.28164 0 0 0 1 1 580 6.33815
0.465495 1 0.000527364 1.21017 1.18141 0.127286 0.281866 0.12103 0.280055 0 0 0 1 1 590 6.44748
0.473385 1 0.000543953 1.21047 1.18099 0.127889 0.280345 0.121573 0.278489 0 0 0 1 1 600 6.55685
0.481275 1 0.000560746 1.21078 1.18056 0.128594 0.278846 0.122217 0.276946 0 0 0 1 1 610 6.66605
0.489165 1 0.000577742 1.21109 1.18013 0.129388 0.277368 0.12295 0.275424 0 0 0 1 1 620 6.77545
0.497054 1 0.000594937 1.2114 1.1797 0.130258 0.275914 0.123759 0.273925 0 0 0 1 1 630 6.88478
0.504944 1 0.000612329 1.21171 1.17926 0.131192 0.274482 0.124631 0.272449 0 0 0 1 1 640 6.99404
0.512834 1 0.000629917 1.21203 1.17883 0.132177 0.273075 0.125555 0.270996 0 0 0 1 1 650 7.10335
