I_value	Tstar	ystar
3.9599999999999995	3.1459491524023493	[0.19313852698402192, 0.19942099271851757, 0.20575736115453971, 0.21210879145164838, 0.21843157276007458, 0.2246772199690379, 0.2307927149763578, 0.23672091175567214, 0.24240112091819452, 0.24776988332331001, 0.252761936187953, 0.25731136588902354, 0.26135293238058027, 0.26482353877184467, 0.26766380878135676, 0.26981972359205897, 0.2712442601045725, 0.271898964916706, 0.2717553936524411, 0.2707963445711053, 0.269016818495766, 0.2664246455806551, 0.26304073138770145, 0.2588988920140658, 0.25404526685085593, 0.2485373201083303, 0.24244246309915232, 0.2358363512288503, 0.2288009261543342, 0.2214222886627651, 0.21378849448038684, 0.2059873692283163, 0.19810443311683099, 0.1902210184567817, 0.18241264681222272, 0.17474771706361544, 0.16728653374892374, 0.16008068730926153, 0.15317277651253003, 0.1465964492308774, 0.14037672196124282, 0.13453053174028473, 0.12906746616839723, 0.12399061859618157, 0.11929751480667794, 0.1149810651206945, 0.11103049976718021, 0.10743225614212969, 0.10417079201554846, 0.10122930976215143, 0.09859038116517597, 0.09623647162503064, 0.09415036479934794, 0.09231549548308589, 0.090716198245268, 0.08933788379163013, 0.08816715274837307, 0.08719185934173802, 0.08640113396116124, 0.08578537544201537, 0.08533621991293713, 0.08504649455979582, 0.08491016065940454, 0.08492225176297541, 0.08507880916859455, 0.08537681852672059, 0.08581414803015887, 0.0863894905447112, 0.08710230897709399, 0.08795278623451928, 0.08894177834208081, 0.09007077142648953, 0.09134184068731277, 0.09275761164066985, 0.09432122147319534, 0.09603628048248752, 0.09790683122947537, 0.09993730511328427, 0.10213247379871483, 0.10449739494867627, 0.1070373494953349, 0.10975776965089669, 0.11266415471239707, 0.11576197365244473, 0.11905655144495256, 0.12255293802899116, 0.12625575692846466, 0.13016903258708376, 0.13429599382886864, 0.1386388530763293, 0.14319855964938807, 0.1479745279758269, 0.15296434068962253, 0.1581634294875143, 0.1635647363098164, 0.16915836074732518, 0.17493119984916852, 0.18086659023385313, 0.18694396314550826]
3.5639999999999996	1.5665609395276132	[0.15611631608575272, 0.16200788996218446, 0.15649681286074835, 0.1616091586886107, 0.15691364570451632, 0.16117445477577058, 0.15736592232466123, 0.16070494179240846, 0.15785232259325044, 0.1602020004194999, 0.1583714635041717, 0.15966701177562392, 0.15892190619397964, 0.15910159639642985, 0.1595016706881793, 0.15850830451279171, 0.16010742085868593, 0.15789144779579278, 0.1607337334103229, 0.15725762481076194, 0.16137284984967049, 0.15661566612558403, 0.16201501090628412, 0.1559760832149785, 0.16264914100562905, 0.15535033114883828, 0.16326358109840805, 0.15475010288671545, 0.16384677829476124, 0.15418662377095918, 0.1643880400552504, 0.15366983520323718, 0.16487839329517645, 0.15320754698369854, 0.16531134144585807, 0.15280485630248303, 0.1656831990340163, 0.15246409723107088, 0.16599286229918672, 0.15218530538828637, 0.16624118367900334, 0.15196691620263508, 0.16643028546997982, 0.15180637198438773, 0.16656307394639044, 0.15170047173184495, 0.1666430173004041, 0.15164548977839673, 0.16667409833331145, 0.15163718417682606, 0.16666081763805188, 0.15167080117571824, 0.16660817143894835, 0.15174111623549716, 0.16652159812515066, 0.15184248807613576, 0.1664069375869973, 0.15196887526195926, 0.1662704382633246, 0.15211382685311636, 0.16611871769410125, 0.15227065430356668, 0.16595835200676604, 0.1524331810296736, 0.16579473850218915, 0.1525972116752724, 0.16563049450594836, 0.15276192234483735, 0.165464702464372, 0.15292959442041268, 0.165294395417603, 0.15310302147925217, 0.16511780016487182, 0.1532823335410598, 0.16493666369248622, 0.15346412394463596, 0.1647554451889794, 0.1536437151258123, 0.1645781881500969, 0.1538183800014286, 0.16440590760583568, 0.15398889988219888, 0.16423619852650714, 0.15415897303585674, 0.164064453056449, 0.15433376143358032, 0.16388523683831963, 0.1545187760565419, 0.16369308237897678, 0.15471937575981198, 0.1634827716388315, 0.15494062003281106, 0.16324942058126357, 0.1551871925335049, 0.16298858353403173, 0.1554632497135588, 0.16269645582099035, 0.15577217557249265, 0.16237014249039544]
3.2076	1.5262695613728718	[0.15617068329770772, 0.16195082557867857, 0.1565561153630021, 0.1615480072481037, 0.15697633629930968, 0.1611104567913819, 0.15743105990274572, 0.16063879527742264, 0.1579193468547596, 0.16013427461884716, 0.158439624092056, 0.159598813555001, 0.15898958684716197, 0.1590351568459641, 0.15956598697611962, 0.15844712305676895, 0.16016437158210342, 0.1578398531784183, 0.1607788744718189, 0.1572199537407527, 0.1614021592733263, 0.15659545307505324, 0.16202557085313876, 0.15597554244456605, 0.1626394949559793, 0.15537012744845777, 0.16323388027406005, 0.15478925033475008, 0.16379885246863543, 0.15424245979063553, 0.16432533986428116, 0.1537382107617427, 0.16480562727236361, 0.15328337687880686, 0.16523375954779784, 0.15288294512047312, 0.16560573952331586, 0.15253992827473578, 0.16591950895020344, 0.15225548016887594, 0.16617475318686112, 0.15202915096914246, 0.16637260790824024, 0.15185919677709048, 0.16651535257567865, 0.15174286754975502, 0.1666061519737052, 0.15167663014933916, 0.1666488700262213, 0.15165631993399303, 0.16664794774047967, 0.15167724024588858, 0.16660831805990178, 0.1517342423549227, 0.1665353211746519, 0.15182182564564606, 0.16643457745044427, 0.15193430299296323, 0.16631177355028645, 0.15206607013935933, 0.1661723363005112, 0.15221198145598291, 0.16602102488341278, 0.15236776111209896, 0.16586155458501528, 0.15253030061823095, 0.16569642076522412, 0.1526976795878549, 0.16552704994997458, 0.15286884966793168, 0.1653542478957917, 0.1530431113183298, 0.16517872463412675, 0.15321966529917838, 0.16500139652879864, 0.15339750590378345, 0.1648232790935485, 0.1535757270968433, 0.1646450276384895, 0.1537540671862523, 0.16446638503443364, 0.15393339430331926, 0.16428582234073866, 0.15411590292705848, 0.16410051654649424, 0.15430497369920662, 0.1639066238693148, 0.15450480619744617, 0.16369969962561134, 0.15471998342538384, 0.1634751207701354, 0.15495508084649748, 0.16322843612711957, 0.1552143586844174, 0.16295563432911242, 0.15550152920417884, 0.16265334536663206, 0.15581958418948577, 0.16231898382578003]
2.88684	1.4859783705771448	[0.15622174746351006, 0.16189674992228859, 0.1566128112331782, 0.16148906756567322, 0.15703715655789582, 0.16104811124039667, 0.1574945749448334, 0.16057447811613418, 0.15798407463099204, 0.16006956454808893, 0.1585038400706939, 0.15953562439159644, 0.1590511561927092, 0.15897585923766117, 0.15962230916531317, 0.15839451885082048, 0.16021249436264043, 0.15779697407000617, 0.16081577362597893, 0.15718971892703318, 0.1614251228121903, 0.15658026652769583, 0.1620325966800712, 0.15597692226480964, 0.16262961551061153, 0.15538844255537484, 0.1632073529654988, 0.1548236108653836, 0.16375718381181883, 0.1542907798637281, 0.16427113767783497, 0.15379743585492678, 0.1647423031348709, 0.15334983802965307, 0.1651651352942971, 0.15295277134203167, 0.16553563796405615, 0.15260943081875786, 0.16585141434053788, 0.1523214316540093, 0.1661116026821641, 0.15208891942319794, 0.16631672968146588, 0.15191074323200932, 0.16646852040963464, 0.15178465397286314, 0.1665696991378285, 0.1517074989451513, 0.1666238027489938, 0.151675398988875, 0.16663501254279434, 0.15168390994095923, 0.16660799601340154, 0.15172818194812407, 0.1665477418710889, 0.1518031343059949, 0.1664593721813285, 0.15190365783920456, 0.1663479261713251, 0.15202484162812335, 0.16621812894376561, 0.1521622003928755, 0.16607417836867436, 0.15231186198584074, 0.16591959425842462, 0.152470672220819, 0.16575716570587512, 0.15263619356460081, 0.16558900302780236, 0.15280661117978947, 0.16541666040356662, 0.15298059835896602, 0.1652412640653744, 0.15315721234129398, 0.16506357776744787, 0.1533358773931971, 0.1648839675328801, 0.15351646912034086, 0.16470227775595475, 0.15369946333261153, 0.16451767527632366, 0.15388608004682566, 0.16432853512814327, 0.154078353253126, 0.16413242549045454, 0.1542790862430634, 0.16392621183003686, 0.15449169291616138, 0.16370626158789128, 0.15471995802367955, 0.16346870701758895, 0.1549677631433954, 0.16320971948932028, 0.15523882143567652, 0.16292575818348584, 0.1555364511068808, 0.1626137706206073, 0.1558634031791211, 0.1622713356556241]
2.598156	1.445687338196374	[0.156269903172733, 0.1618455626069714, 0.15666663984031015, 0.16143299560458188, 0.15709506537596604, 0.16098878278274048, 0.1575548920199479, 0.1605136208422106, 0.15804500269495056, 0.1600090591278348, 0.1585634034832108, 0.1594775485260501, 0.15910717465346316, 0.15892248809305318, 0.1596724298413402, 0.15834825572557049, 0.16025430049609238, 0.15776020331456322, 0.16084696636132453, 0.1571645958229955, 0.1614437508454241, 0.1565684785975933, 0.16203729248430418, 0.15597946728243806, 0.16261979179388159, 0.15540546776154202, 0.163183319373275, 0.15485434656637923, 0.16372015931562653, 0.15433358208482686, 0.1642231545641844, 0.1538499314229453, 0.16468601948656225, 0.15340914592815363, 0.1651035898587554, 0.15301576069872158, 0.1654719904295229, 0.15267297172883254, 0.1657887129177706, 0.15238260138791737, 0.16605260977711933, 0.15214514160899134, 0.1662638186346127, 0.15195985679800128, 0.16642363716950112, 0.15182492623109323, 0.1665343679075996, 0.15173760827466656, 0.16659914797715736, 0.15169441451342913, 0.16662177242499, 0.1516912883564, 0.16660651381295077, 0.1517237873869745, 0.16655793776141778, 0.15178726983336036, 0.16648071504518758, 0.1518770826594938, 0.16637943532640678, 0.15198874323742045, 0.1662584334935326, 0.1521181011578388, 0.16612164364579732, 0.15226146478323158, 0.16597249498518063, 0.1524156809972136, 0.16581385695982248, 0.15257816620307862, 0.1656480294879679, 0.15274689896921056, 0.1654767622141649, 0.15292039476864233, 0.16530127978081827, 0.153097686171304, 0.16512229179993196, 0.15327832549295117, 0.16493997671178978, 0.15346241326273868, 0.16475394410308172, 0.15365064036025983, 0.16456319405134442, 0.15384432066061043, 0.16436609897877769, 0.15404538884446642, 0.16416043084010398, 0.1542563451142235, 0.16394344581437606, 0.1544801416159722, 0.16371202452956213, 0.15472001927478515, 0.1634628533420191, 0.15497931394349931, 0.16319262491165373, 0.15526125486751627, 0.16289823535494594, 0.1555687765642031, 0.16257695957041066, 0.15590435904654593, 0.16222659377271892]
2.3383404	1.4053964399125924	[0.1563151973051947, 0.1617973689183654, 0.15671734611728338, 0.1613801809118296, 0.15714956785326858, 0.1609330292844727, 0.15761144373911035, 0.1604567396434285, 0.1581017290406837, 0.15995298669246164, 0.15861830985983588, 0.15942433083020757, 0.15915817433923068, 0.15887423744186574, 0.15971740501199788, 0.15830707043885903, 0.16029120203219754, 0.1577280495775376, 0.16087394782291073, 0.1571431616844623, 0.16145932159719223, 0.15655901947404618, 0.16204046727978805, 0.15598266773836236, 0.16261021138275797, 0.1554213441922596, 0.16316131975239168, 0.154882209610367, 0.1636867754402511, 0.15437206749595647, 0.16418005572321306, 0.15389709613768274, 0.16463538543745623, 0.1534626149704196, 0.16504794647210616, 0.15307290289096917, 0.165414028875619, 0.1527310795428077, 0.16573111633206247, 0.1524390529995951, 0.1659979062419526, 0.15219753026927746, 0.16621427086541155, 0.15200608185071773, 0.16638116997483457, 0.15186324886344307, 0.16650052691150555, 0.15176668098718582, 0.16657507923742468, 0.15171329490342905, 0.16660821323737712, 0.1516994450640273, 0.16660378946763904, 0.15172110036345543, 0.1665659652767391, 0.1517740209845048, 0.1664990201194635, 0.1518539292785386, 0.16640719025072656, 0.15195666763952165, 0.16629452016390894, 0.1520783359475483, 0.16616473787956815, 0.15221540225044625, 0.1660211591561527, 0.15236478332897405, 0.165866621889964, 0.15252389619383414, 0.16570344729724645, 0.1526906861138941, 0.16553342046668548, 0.15286363982713103, 0.16535778111226038, 0.15304179281609848, 0.16517721674898792, 0.15322473657682728, 0.1649918548066193, 0.15341262653937104, 0.16480125597655515, 0.1536061855381121, 0.16460441629026587, 0.15380669357378723, 0.16439978814337966, 0.1540159535923151, 0.16418532969665697, 0.15423622552525515, 0.16395858804421673, 0.15447012605647623, 0.16371681557201856, 0.15472049781811448, 0.16345711289652382, 0.15499025711136089, 0.16317658738147395, 0.155282232378627, 0.16287251450904142, 0.15559900593159473, 0.1625424904754193, 0.15594276913764454, 0.16218456765559716]
2.10450636	1.3651056560027466	[0.15635767451907434, 0.16175219315842992, 0.15676484490780293, 0.16133075526172064, 0.1572005053430907, 0.16088101207327096, 0.1576640932452699, 0.1604039186336024, 0.15815424961487853, 0.15990124703183115, 0.15866878269895116, 0.15937561245797183, 0.15920465319225455, 0.1588304755833304, 0.15975798558802223, 0.15827011608265965, 0.1603241111807757, 0.15769957180006722, 0.16089764784636845, 0.15712453920038008, 0.1614726197954515, 0.15655123344299204, 0.16204261710791965, 0.15598621037675103, 0.16260099048320753, 0.15543615734415314, 0.16314107204993342, 0.15490766405229414, 0.16365640915030888, 0.15440698805426745, 0.16414099554072917, 0.15393983091666294, 0.1645894839415574, 0.15351114060503296, 0.16499736543958302, 0.15312495309950513, 0.16536110459156111, 0.15278428224477164, 0.165678223558314, 0.15249106208996438, 0.1659473334069879, 0.1522461413048465, 0.16616811507206697, 0.15204932536773186, 0.16634125578720843, 0.1518994595336045, 0.1664683488310144, 0.15179454419576888, 0.16655176524511262, 0.15173187393479387, 0.16659450610938087, 0.15170819190503204, 0.16660004342634172, 0.15171985182496228, 0.16657215703885297, 0.15176298043389988, 0.16651477445372956, 0.15183363380066495, 0.1664318199076222, 0.15192794147913985, 0.16632707826088763, 0.15204223346318138, 0.16620407808874993, 0.15217314639677815, 0.16606599655225152, 0.1523177075256817, 0.1659155864341264, 0.1524733971318945, 0.16575512354562272, 0.15263819214872104, 0.16558637112220054, 0.15281059474501538, 0.16541055733017818, 0.15298964951349844, 0.16522836281238382, 0.15317495149284185, 0.16503991709829516, 0.15336664501718614, 0.16484480509053598, 0.15356541105700977, 0.1646420869050178, 0.15377243910416613, 0.16443033534348409, 0.15398937936887774, 0.16420769479678082, 0.1542182722896265, 0.16397196346423, 0.1544614548234601, 0.16372069792225613, 0.15472144602694898, 0.1634513360480653, 0.15500081725017367, 0.16316133188563403, 0.15530205414710307, 0.16284829479774593, 0.15562741826157514, 0.16251012537860535, 0.15597881518057566, 0.16214514191279092]
1.8940557239999998	1.3248149689311473	[0.15639741318423966, 0.1617099787928195, 0.15680917595882168, 0.1612846875555718, 0.1572479109906591, 0.1608326834395534, 0.1577129162609014, 0.1603550406991163, 0.1582027351822545, 0.15985360561428924, 0.15871512733899323, 0.15933101406906497, 0.1592470633597885, 0.15879068342258204, 0.15979474711287783, 0.15823677547131643, 0.16035366828150716, 0.15767412777460968, 0.16091868751086072, 0.1571081519029204, 0.161484154607519, 0.15654469927765083, 0.16204405781399356, 0.15598989800407595, 0.16259219927001053, 0.15544996707570935, 0.16312238885206382, 0.15493101706573845, 0.16362864615108358, 0.1544388484347945, 0.1641053988482005, 0.1539787594967686, 0.1645476654710607, 0.1535553757081308, 0.16495121153260697, 0.15317251032261633, 0.16531267021702645, 0.15283306383785739, 0.16562962174216223, 0.15253896646025666, 0.16590062884607404, 0.1522911644930044, 0.16612522906315505, 0.1520896485312748, 0.16630388720344313, 0.15193351892891252, 0.16643791350500062, 0.15182108232279362, 0.16652935423307377, 0.1517499720523264, 0.1665808621239396, 0.15171728497424752, 0.166595554162022, 0.1517197272900452, 0.1665768638877903, 0.1517537624414671, 0.16652839486739968, 0.1518157548139845, 0.1664537811566478, 0.15190210390078213, 0.16635655956336576, 0.15200936472319015, 0.16624005726063695, 0.15213435164861264, 0.1661072968899336, 0.15227422419238942, 0.16596091986188732, 0.1524265547535601, 0.1658031273247177, 0.15258937928877722, 0.16563563745148438, 0.15276123247083515, 0.1654596574574455, 0.15294116880932196, 0.16527586912173045, 0.15312877059073582, 0.1650844274078351, 0.1533241425489994, 0.16488497276412847, 0.1535278922417241, 0.16467665848012408, 0.15374109453533982, 0.16445819475809373, 0.1539652386522424, 0.16422791075462387, 0.15420215698789583, 0.1639838347732204, 0.15445393624339512, 0.16372379126129427, 0.1547228130495869, 0.16344551162563895, 0.1550110578128774, 0.1631467544981516, 0.15532085165059914, 0.16282543024478702, 0.15565416179134237, 0.16247972434285027, 0.15601262065911847, 0.16210821469568681]
