I_value	Tstar	ystar
9.64133022449836	1.2696307476437652	[0.12036139623065216, 0.07988353086745141, 0.05125449262060628, 0.03184761076332029, 0.019218804419403185, 0.01131657112683055, 0.006553215901597535, 0.0037812960706740156, 0.0022198798141741657, 0.0013653908182114833, 0.0009086757015237322, 0.0006683094770742003, 0.0005421485800901712, 0.0004748300987326361, 0.0004373635443684551, 0.0004150252521823509, 0.0004005281181491155, 0.0003903354822911016, 0.00038274911289488934, 0.00037695184394109495, 0.00037254277995951306, 0.00036931759494634515, 0.00036716685128678595, 0.0003660297235034653, 0.00036587309723831724, 0.00036668221300071934, 0.0003684564862054052, 0.0003712077706350321, 0.0003749597882701298, 0.0003797482618069048, 0.0003856214904629849, 0.0003926413470203632, 0.00040088465091787473, 0.0004104449964831863, 0.0004214350644373481, 0.0004339895490055434, 0.0004482687925924752, 0.0004644633292065854, 0.0004827995203078007, 0.0005035465984788537, 0.0005270254537386427, 0.0005536196765427541, 0.0005837894542205471, 0.0006180891878368788, 0.0006571898939375182, 0.0007019078970268048, 0.0007532417313925435, 0.0008124199349957083, 0.000880963242610791, 0.0009607660627758994, 0.0010542037425269378, 0.001164274673268081, 0.0012947894472839865, 0.0014506240601103735, 0.001638060252772962, 0.0018652450819459448, 0.002142813398315612, 0.0024847335618756626, 0.0029094580527450047, 0.0034414902754849584, 0.004113515765946543, 0.004969294751399859, 0.006067569721069302, 0.00748730957861032, 0.009334678126333944, 0.011752173719465138, 0.014930402574266746, 0.019122890951469008, 0.024664127977279158, 0.03199059007045279, 0.04166368601125488, 0.05439228831137825, 0.07105064691304777, 0.09268507601835538, 0.12050001831714889, 0.1558115516362355, 0.19995502253960973, 0.25413483940183723, 0.3192101509403744, 0.39542181883059396, 0.48208402069443457, 0.5772864051228026, 0.6776749609886723, 0.7783939307605019, 0.8732674214177322, 0.9552701455557474, 1.0172799913849784, 1.0530294615404905, 1.0580977070310456, 1.0307365472954417, 0.972326530559926, 0.8873235123510429, 0.7826712014654226, 0.6667883701352425, 0.5483476945616659, 0.4351097125908953, 0.33304521969585943, 0.24588605358453347, 0.17512293637372853]
9.394116628998402	1.3083804579852916	[0.12566547767579858, 0.08434473251968282, 0.05478307082619959, 0.03449327307584457, 0.021111733866823423, 0.012617428752139866, 0.007418391091105877, 0.004343738709559548, 0.002582293416562846, 0.0016013615917737577, 0.001067726855249804, 0.0007820283602307964, 0.0006297683866765992, 0.0005476057307542937, 0.0005016709477899265, 0.00047439346738547265, 0.00045689070121457425, 0.0004447618706945629, 0.0004358534284540352, 0.0004291130275780448, 0.0004240195445535353, 0.0004203071721866754, 0.0004178346685781685, 0.0004165245321546721, 0.00041633493563434406, 0.00041724695545777656, 0.0004192587475183806, 0.00042238308008948894, 0.0004266464246298659, 0.00043208899889842184, 0.0004387653435103843, 0.0004467454279127645, 0.0004561161690779311, 0.0004669834918477692, 0.00047947491357404695, 0.0004937428422918631, 0.0005099686482857546, 0.0005283677728340794, 0.0005491960380949968, 0.000572757546866904, 0.0005994145031362662, 0.0006295995606602588, 0.0006638313159420861, 0.0007027339404816541, 0.000747062074082708, 0.000797732671787743, 0.0008558658427814023, 0.0009228376487904103, 0.001000348592399284, 0.0010905131251309679, 0.0011959770703373084, 0.001320072713322276, 0.0014670244164241939, 0.0016422228279691891, 0.0018525917747318598, 0.00210708147328114, 0.002417333065593473, 0.0027985767170180505, 0.0032708461236912113, 0.003860622135756568, 0.004603052973147815, 0.005544946000222776, 0.0067487771176251085, 0.008298026637935522, 0.010304203899486135, 0.01291596937777239, 0.016330754456523423, 0.020809200180822756, 0.026692489212738556, 0.034422186754156946, 0.04456137840105762, 0.05781465781698273, 0.07504272737708467, 0.09726516951261233, 0.1256424456169238, 0.16142607682969143, 0.20586503404451612, 0.2600581415388672, 0.324748069792432, 0.40006373685172364, 0.4852345248520335, 0.5783201324162939, 0.6760192643945773, 0.7736319232206973, 0.8652450802306769, 0.9441837128806585, 1.003717180519851, 1.0379429264750653, 1.0427025890696793, 1.0163433299787754, 0.960140242275275, 0.878253449962889, 0.7771960007218759, 0.6649078985146835, 0.54962972247263, 0.4388137072102602, 0.33828677457892314, 0.2517993773628897, 0.18098611941874335]
9.146903033498445	1.3495985947120994	[0.1311602582578066, 0.08902929466035248, 0.0585400028912475, 0.03735096031439037, 0.023187214007034208, 0.01406601304189424, 0.008397122732492306, 0.004989930437703215, 0.003004624588226438, 0.0018794813051764855, 0.0012564272379624781, 0.0009170238857550429, 0.0007332806689031902, 0.0006329212604927918, 0.0005764770814868686, 0.0005430308751461502, 0.0005217793740772712, 0.0005072569438751788, 0.0004967361403052368, 0.0004888618467932727, 0.0004829552905652788, 0.0004786688822745834, 0.0004758187284767461, 0.0004743048919570218, 0.00047407382004615293, 0.0004751008933298302, 0.000477382335279747, 0.00048093167583913165, 0.000485778362946163, 0.0004919676296443475, 0.0004995610581531583, 0.0005086377789833049, 0.0005192961600348917, 0.0005316561110309735, 0.0005458619858149733, 0.0005620862842436174, 0.0005805342252327444, 0.0006014494775504352, 0.0006251212355341118, 0.0006518930645473031, 0.0006821738871482143, 0.0007164517742156036, 0.0007553112245109757, 0.0007994550188270351, 0.0008497318820535546, 0.0009071717935292169, 0.0009730311687049263, 0.0010488511201485735, 0.001136532832095253, 0.0012384357678844285, 0.001357506097476271, 0.0014974457160105434, 0.0016629354831216147, 0.001859931690962135, 0.0020960609845787114, 0.002381148664610285, 0.002727926821520338, 0.0031529859460867264, 0.003678054064171787, 0.004331716510305389, 0.005151722830321749, 0.0061880719056271825, 0.0075071130621298336, 0.009196956131081374, 0.011374526241804834, 0.014194629659527344, 0.017861368769854016, 0.02264214017652771, 0.02888417883024138, 0.03703313202011274, 0.04765232125944255, 0.061440150246559466, 0.0792414322034548, 0.10204639136876262, 0.1309688966375307, 0.16719377234134083, 0.21188254556628708, 0.266029094903579, 0.3302624798200581, 0.40460493188397784, 0.48820828500859154, 0.5791104077451932, 0.6740699876285423, 0.7685472033298419, 0.8568918479245058, 0.9327741363288992, 0.989845991361284, 1.0225597088382405, 1.0270117573877688, 1.0016426354887766, 0.9476270885069475, 0.868840554891659, 0.7713787801691242, 0.6627138395017054, 0.5506583676457223, 0.44235189892631316, 0.343465667771581, 0.25775307964153094, 0.18697763625261768]
8.899689437998488	1.3935259119760435	[0.1368462030722223, 0.09394406477748307, 0.06253724035465033, 0.04043589852810286, 0.025461794945891226, 0.015678503137631347, 0.00950401054211574, 0.005732233671688678, 0.0034968226193807725, 0.0022074521770043716, 0.0014805867749363858, 0.0010776302152194848, 0.0008559376785065042, 0.0007332750191372382, 0.0006637761739653905, 0.0006226053105619588, 0.0005966553734117498, 0.0005791527625765418, 0.0005666486896042906, 0.0005573990654646093, 0.0005505185944658575, 0.0005455507963673145, 0.000542254366030756, 0.0005404989605973617, 0.0005402150795429303, 0.000541370216927666, 0.0005439576592781553, 0.0005479913883817272, 0.0005535040187035158, 0.0005605463484269141, 0.000569187894458007, 0.0005795181463408566, 0.0005916484614088686, 0.0006057146132487099, 0.0006218800712985407, 0.0006403401320590206, 0.0006613270756778238, 0.0006851165721792433, 0.0007120356349884224, 0.0007424725021052084, 0.0007768889433378303, 0.0008158356356452287, 0.0008599714488426284, 0.000910087737913953, 0.0009671390877551142, 0.0010322824112378773, 0.0011069269246870438, 0.0011927983498231157, 0.0012920218193775857, 0.0014072294730375755, 0.0015417007930604814, 0.0016995465042214327, 0.0018859506462533754, 0.0021074905183831177, 0.0023725610925237556, 0.0026919397098037205, 0.003079539195928249, 0.0035534137201212166, 0.00413710281614546, 0.004861425772371957, 0.005766871857716914, 0.006906771294913342, 0.008351476101906818, 0.01019382419625425, 0.012556195737467784, 0.015599480815586101, 0.019534236023522493, 0.02463417299850701, 0.03125183887160026, 0.03983584405898772, 0.05094818922479097, 0.06527907255640852, 0.08365500509144022, 0.1070342124278635, 0.13648142745005948, 0.17311280237402682, 0.21800161391509568, 0.27203776679968567, 0.33573993184348744, 0.4090292181408307, 0.4909873455361028, 0.5796384888884131, 0.671808425654468, 0.763121639391568, 0.8481903755229084, 0.9210247876268268, 0.9756502966690356, 1.0068639135726707, 1.0110092807541358, 0.9866182108753602, 0.9347701571906369, 0.8590668946435511, 0.765200346591641, 0.6601858581767795, 0.5514128568282864, 0.44570443417218125, 0.34856480089147907, 0.2637347235151294, 0.19309118579379564]
8.65247584249853	1.4404348485131784	[0.1427225778468146, 0.09909528083401575, 0.06678679256379758, 0.04376401974515019, 0.027953270494915427, 0.017472686956167546, 0.010755434186363695, 0.006584785677236472, 0.004070474127386372, 0.002594397783995228, 0.001747192221750727, 0.0012691227844608016, 0.001001728762719983, 0.0008517388998967331, 0.0007660128976034851, 0.0007151469641063413, 0.0006832817462945378, 0.0006620429384376904, 0.0006470778957348596, 0.000636144121669286, 0.0006280861284509632, 0.0006223024766622194, 0.0006184743339813585, 0.0006164299519878294, 0.0006160779007695382, 0.0006173746766120553, 0.0006203090934688491, 0.000624895058194541, 0.0006311684319829988, 0.0006391861671153979, 0.0006490266770879236, 0.0006607911785324989, 0.0006746057424060188, 0.0006906241620339103, 0.0007090315995923892, 0.0007300492467747071, 0.0007539400860104245, 0.000781016099973638, 0.0008116471599411858, 0.000846272109947734, 0.0008854124994987056, 0.0009296897685637307, 0.0009798467098452695, 0.0010367745102238533, 0.0011015468421121985, 0.0011754631842004473, 0.0012601039861753643, 0.0013574014217180858, 0.0014697303992372564, 0.0016000263920024939, 0.0017519384798300394, 0.0019300292628287308, 0.0021400367957489694, 0.0023892194133614576, 0.0026868107680961804, 0.0030446223735781535, 0.00347784245095129, 0.0040060967956898575, 0.004654856762231574, 0.005457306485643367, 0.006456810969459589, 0.007710164731678024, 0.009291836980587519, 0.011299468603307371, 0.013860896612083225, 0.01714298135601384, 0.021362445813787496, 0.026798788492557197, 0.03380902162810631, 0.042843484646883305, 0.054461181572230975, 0.06934199134354693, 0.0882916452295231, 0.11223373484959814, 0.14218139835108826, 0.17918033297746636, 0.2242150374742419, 0.2780727697964351, 0.3411653916001306, 0.4133187633152086, 0.49355209301446684, 0.5798840029266656, 0.6692142829814812, 0.7573355542247212, 0.8391218035311865, 0.908917555928815, 0.9611125024639124, 0.9908381884891785, 0.9946777695565725, 0.9712523346350286, 0.9215510413919282, 0.8489129963517996, 0.7586398933868173, 0.6573019060879306, 0.5518705855820636, 0.4488495246893948, 0.3535651009896122, 0.2697299809482971, 0.19931882954224608]
8.405262246998573	1.4906348004991123	[0.14878720128685397, 0.10448836212307819, 0.07130058004012856, 0.04735189729022575, 0.030680704772566594, 0.019468075713759286, 0.012169740524990105, 0.0075637351923681945, 0.004739063107760231, 0.0030511227729197025, 0.0020646486644925427, 0.0014979306626788428, 0.0011755594454961895, 0.000992104915442233, 0.0008862004369379936, 0.0008231432061717807, 0.0007838004484310547, 0.0007578467399588979, 0.0007398010195515871, 0.0007267839951680726, 0.0007172874862607247, 0.0007105171366354386, 0.0007060493249957862, 0.0007036556110071453, 0.0007032142406276851, 0.0007046661852641998, 0.0007079935306286431, 0.00071320916957287, 0.0007203521600358738, 0.0007294861551485688, 0.0007406995351845041, 0.000754106749365718, 0.0007698505570588896, 0.0007881051992820128, 0.0008090804882022335, 0.0008330270203815503, 0.0008602426498367443, 0.0008910805603325482, 0.0009259592331773201, 0.000965374838715453, 0.0010099165915418951, 0.001060285910480834, 0.0011173203298905868, 0.0011820235408546622, 0.0012556032096212918, 0.0013395188906130198, 0.0014355429121257325, 0.0015458382112879688, 0.001673058184349615, 0.0018204754863489164, 0.001992148761595987, 0.0021931395278093385, 0.0024297952001326004, 0.0027101198936258153, 0.0030442613979744263, 0.0034451524568406876, 0.003929356187165253, 0.004518181678127527, 0.005239154898622961, 0.006127955130591499, 0.007230954985066963, 0.008608535506706507, 0.01033937945161326, 0.012525975511536077, 0.015301576790908223, 0.01883883975649635, 0.023360288934161137, 0.02915058374340038, 0.0365702438088141, 0.04606998074232537, 0.058204011297735454, 0.07363968362896015, 0.09315942467061553, 0.11764957293953034, 0.14806932856320562, 0.18539235933713952, 0.23051417018889636, 0.2841210602682428, 0.3465220372914616, 0.4174538797103555, 0.49588105353130474, 0.5798247411772565, 0.6662654769461148, 0.751167527198669, 0.8296655720603674, 0.8964326569279758, 0.9462133637009951, 0.9744635383807145, 0.977998193660551, 0.9555256314032428, 0.9079496538802859, 0.8383576555152975, 0.751674804313912, 0.6540380148355702, 0.5520069004748962, 0.45176321416377724, 0.3584452719012153, 0.275722371663965, 0.2056507286440558]
8.158048651498616	1.5444784618506902	[0.1550361514217255, 0.11012765471822711, 0.07609024661063107, 0.051216647927874136, 0.0336644377028571, 0.02168601237674131, 0.01376744085213163, 0.008687504193351108, 0.005518268209301565, 0.0035904178871277587, 0.002443069811493107, 0.0017718973798338297, 0.0013834755209803991, 0.0011590717186747794, 0.0010280726228859155, 0.0009496619070083026, 0.0009008328648438962, 0.0008688926074775821, 0.0008469569871218963, 0.0008313359614931311, 0.0008200621558180987, 0.0008120848604655977, 0.0008068387204772057, 0.0008040174685776982, 0.0008034571509887189, 0.000805076695309766, 0.000808848069357237, 0.0008147816275106618, 0.0008229192895086064, 0.0008333318918275544, 0.000846118907027433, 0.0008614096964201971, 0.0008793659265812337, 0.0009001850519426225, 0.0009241048944081806, 0.0009514094641364796, 0.0009824362316663937, 0.00101758515863466, 0.0010573298753433318, 0.0011022315246551045, 0.0011529559270367048, 0.0012102949277370072, 0.0012751930237538988, 0.0013487807103500838, 0.0014324164036268834, 0.0015277393798333529, 0.0016367369090613795, 0.0017618297763247507, 0.0019059816907391182, 0.0020728398660170605, 0.0022669163765593474, 0.0024938230291102724, 0.0027605765847109305, 0.0030759966377961567, 0.0034512255642682186, 0.0039004092878169964, 0.004441589532273081, 0.005097873454354841, 0.005898965310767343, 0.006883167574827933, 0.008099984986718172, 0.009613493342205008, 0.011506661643696672, 0.013886835873188364, 0.016892593740594087, 0.02070214623239439, 0.025543367695187304, 0.031705348524315044, 0.03955103887502658, 0.0495300423308272, 0.062189881071377746, 0.07818307406443391, 0.09826618187844777, 0.12328571233055835, 0.15414471872826407, 0.1917435062460026, 0.2368886980558227, 0.2901677077573403, 0.35179101710855365, 0.42141278570468665, 0.49795064946092965, 0.5794364249073269, 0.6629379014339214, 0.7445941678837648, 0.8197991933771264, 0.8835484144300123, 0.9309317647428854, 0.9577191119789339, 0.9609496669631867, 0.9394168588937634, 0.8939440090530346, 0.827377715155074, 0.7442804236948375, 0.6503680570821138, 0.5517948452792957, 0.4544191081253046, 0.3631815055147986, 0.281692959980033, 0.21207483604224545]
7.910835055998658	1.6023694877810744	[0.1614634167664008, 0.11601612196204485, 0.08116692029255328, 0.055375791267058674, 0.03692606105659489, 0.024149767764370465, 0.015571414865952942, 0.009977074861122606, 0.00642630093172583, 0.004227417032977399, 0.0028946263915930475, 0.002100600919042627, 0.0016329436033654826, 0.0013584821695628393, 0.001196280575004334, 0.0010985124156844758, 0.0010376118114756195, 0.000998027789403601, 0.0009711395539262559, 0.0009522290072651648, 0.0009387328447482576, 0.0009292604603285264, 0.0009230548773379944, 0.0009197028303405294, 0.0009189813836642261, 0.0009207780183931552, 0.0009250495092805299, 0.0009318012394389584, 0.0009410771815704176, 0.0009529556782468454, 0.0009675484299718601, 0.0009850015601209705, 0.0010054981224099716, 0.0010292619291475743, 0.0010565626268848134, 0.0010877222185380001, 0.0011231231933661878, 0.0011632186558709642, 0.001208544822532462, 0.0012597365119183575, 0.0013175462915178536, 0.0013828682788973876, 0.0014567677399147903, 0.00154051810795137, 0.0016356473788803044, 0.0017439965801805714, 0.001867793668285023, 0.002009747414353935, 0.002173167066674984, 0.0023621155926838782, 0.0025816065349280703, 0.00283785792679567, 0.0031386206723534368, 0.0034936045578946675, 0.0039150318849655716, 0.004418358248307361, 0.0050232112250523705, 0.005754612770622903, 0.006644568263572771, 0.007734126647070077, 0.009076038578470488, 0.01073816429415695, 0.012807802455631772, 0.015397123507066929, 0.01864987965577757, 0.0227495184917288, 0.027928716850284186, 0.034480153936813036, 0.04276800874221796, 0.053239170583621605, 0.06643244634990805, 0.08298314941611419, 0.1036193914105418, 0.1291453354468, 0.16040584156554794, 0.19822678739086172, 0.2433263795106975, 0.2961956193524659, 0.3569511693785183, 0.4251713211890191, 0.4997349191951413, 0.5786924255320474, 0.659205154225151, 0.737589845274722, 0.8094979883137949, 0.8702409985920488, 0.9152444633603302, 0.9405819466084762, 0.9435091949688723, 0.9229026536485313, 0.8795099674589792, 0.8159478046286355, 0.7364297883327784, 0.6462634667288373, 0.5512048663571114, 0.45678805994432387, 0.3677471470685168, 0.2876200018532161, 0.21857653591773604]
7.6636214604987	1.6647718084211764	[0.1680604805388302, 0.12215496768380854, 0.08654091059086977, 0.05984705448597428, 0.040488354390059884, 0.02688461598969186, 0.017607116322042208, 0.011456300777351934, 0.0074842880224120665, 0.00498001376982977, 0.0034339633046661915, 0.002495745878345247, 0.001933202232888084, 0.0015976262368340732, 0.0013966473845538924, 0.0012744565760850713, 0.0011981558601536796, 0.0011487634963994874, 0.0011155203614872443, 0.0010924107250807839, 0.0010761009660980282, 0.0010647510852229254, 0.0010573454712494127, 0.001053323663170392, 0.0010523801260240607, 0.0010543572883779458, 0.0010591892024964177, 0.0010668724091003122, 0.0010774513914911493, 0.0010910119662709882, 0.0011076791559700289, 0.0011276178118012367, 0.001151035152209869, 0.0011781848825985857, 0.0012093728271043531, 0.001244964184822161, 0.0012853926406197734, 0.001331171684304472, 0.0013829086054225636, 0.0014413217834892862, 0.0015072620636741672, 0.0015817392435305939, 0.001665954980427629, 0.001761343817213565, 0.001869624508807246, 0.0019928644868773123, 0.002133561135060612, 0.0022947446649991487, 0.0024801088258148605, 0.00269417759748935, 0.002942518502976773, 0.0032320164517790186, 0.0035712262611557275, 0.003970827519803359, 0.004444212503571096, 0.005008246850330372, 0.005684253906161866, 0.006499287457252674, 0.007487773935724075, 0.008693623988082738, 0.010172933349835133, 0.011997412274811206, 0.01425869697951626, 0.017073699025422148, 0.020591128035460066, 0.02499926395713269, 0.030534934608043313, 0.037493444758690334, 0.04623887134519551, 0.05721365490583534, 0.07094575904890998, 0.08805084732124605, 0.10922600024983577, 0.13523060922968905, 0.16684948872991995, 0.20483331892581946, 0.24981273575036692, 0.30218521431989115, 0.3619786899145908, 0.4287026120569166, 0.5012051837196256, 0.5775634343539714, 0.6550382122746431, 0.7301263679416445, 0.7987347724633339, 0.8564841167338466, 0.8991257864280167, 0.9230266666637624, 0.9256513753206405, 0.9059572309117294, 0.8646209333626531, 0.8040400315912278, 0.7280933110877383, 0.641692909756943, 0.5502044665226596, 0.458837803026326, 0.37211230337667, 0.2934785313216967, 0.22513821882743737]
7.4164078649987415	1.7322210127843065	[0.17481582370477944, 0.12854317702104168, 0.09222132661155233, 0.06464810700109333, 0.044375166767217235, 0.02991787768561645, 0.01990277260209985, 0.013152239435598987, 0.008716700448452642, 0.0058693448612992865, 0.00407869762748611, 0.0029716433137116378, 0.0022957010060812096, 0.0018856274291185237, 0.0016364985511179134, 0.001483486314779062, 0.001387500793311897, 0.0013254685836964414, 0.0012840130687611496, 0.0012554893233337847, 0.001235572548614754, 0.0012218308234799337, 0.0012129002907568635, 0.0012080182082539587, 0.0012067632344352239, 0.001208913167169533, 0.0012143681335926, 0.0012231098158489695, 0.0012351804392310372, 0.001250672673038384, 0.0012697257374718208, 0.0012925252591024184, 0.001319305658625062, 0.0013503545175772376, 0.0013860187619776142, 0.001426712724126985, 0.0014729283171017466, 0.0015252476865954495, 0.0015843588543867978, 0.0016510750198056663, 0.0017263583898773222, 0.001811349646713175, 0.0019074044842309742, 0.002016139043657661, 0.0021394866120760625, 0.002279768622336463, 0.0024397838915733577, 0.002622921184077279, 0.002833301704901413, 0.0030759600847367913, 0.00335707498402554, 0.003684263739910207, 0.004066959761924339, 0.004516896828822673, 0.005048731389452264, 0.005680842629215301, 0.006436360773829002, 0.007344486912772702, 0.008442182571790767, 0.009776323686559594, 0.011406430398434265, 0.013408098500029941, 0.01587726622225739, 0.01893544401800372, 0.02273600462000677, 0.02747156027900154, 0.033382323790459564, 0.040765134249114425, 0.049982500889011454, 0.06147055441832242, 0.07574418546195533, 0.0933969119707667, 0.11509222187484344, 0.14154242557228136, 0.17347066318348822, 0.2115519764241936, 0.2563306793862673, 0.30811403749871163, 0.3668467347072899, 0.4319766721766641, 0.5023296482075253, 0.5760170702965319, 0.6504050430329693, 0.7221726033753418, 0.7874794799164414, 0.8422486445772605, 0.882547264635924, 0.9050251234702855, 0.9073480385204429, 0.8885520263816283, 0.8492474930566095, 0.7916236154821736, 0.7192384045291915, 0.6366218946383269, 0.548757796115657, 0.4605325179439666, 0.37624338214458186, 0.29923987396300883, 0.23173877920484143]
