I_value	Tstar	ystar
8.399999999999999	2.0785309746892517	[0.28466969123326236, 0.29344060142853506, 0.30046530884680517, 0.30575890350356866, 0.30941166938289993, 0.3115791638025024, 0.31246840777275986, 0.3123219656761388, 0.31140165799066355, 0.3099733648246924, 0.3082939369568419, 0.30660073575665614, 0.3051038643608114, 0.3039807877877038, 0.30337279952105717, 0.3033826770250165, 0.30407286593312777, 0.3054636204169305, 0.3075306879439706, 0.3102023465592519, 0.3133558764111318, 0.31681386994156696, 0.32034114896024446, 0.3236434386201309, 0.32636930042411944, 0.32811706794562456, 0.32844854396129586, 0.32691086912117434, 0.3230671314365344, 0.31653489021301245, 0.3070299048887664, 0.29441025405073684, 0.27871417989423014, 0.2601840370716975, 0.2392692894537267, 0.2166039651249318, 0.19295821757968062, 0.16916888292977877, 0.14605884639207226, 0.12435814479048587, 0.10463989729246242, 0.08728110766411198, 0.07245289633131313, 0.060138412350114225, 0.05017136828012636, 0.04228521556296191, 0.036162881190443565, 0.0314792245200682, 0.027931821459747715, 0.02525913863542985, 0.023247735371585882, 0.02173148276672335, 0.020586020126144362, 0.019721164536204844, 0.019073162200619307, 0.018597852846431034, 0.018265178741171055, 0.01805506365626422, 0.017954476757526986, 0.01795542799749524, 0.018053649070175745, 0.018247758853209346, 0.018538762202761055, 0.01892977766440376, 0.019425924194982958, 0.020034323412826703, 0.020764190359837852, 0.021626997698916618, 0.02263670441449029, 0.02381004444035032, 0.025166871379711724, 0.026730555275346676, 0.028528423997798903, 0.030592237034833773, 0.03295867084889745, 0.035669783835909144, 0.03877341291352952, 0.04232343435564055, 0.04637979714714203, 0.051008210750252414, 0.05627934162285227, 0.06226735046770363, 0.06904759026293955, 0.07669329496952018, 0.08527112989949172, 0.09483556045279616, 0.10542213272427903, 0.1170399505423814, 0.1296638653910748, 0.1432271429509086, 0.15761558489905073, 0.17266421060509834, 0.1881575759796065, 0.20383458072772664, 0.21939817338097406, 0.23452974331952234, 0.24890727652136505, 0.26222568141453245, 0.27421720589371085]
8.799999999999999	1.9809221911853245	[0.2896135988716129, 0.29856158201638705, 0.3055873386448107, 0.31071404175831546, 0.31405051786066746, 0.3157791179751511, 0.31613914684626515, 0.3154080589519724, 0.31388254350250666, 0.31186122585626963, 0.30963013798801026, 0.3074514881620236, 0.3055557007017128, 0.30413626886987, 0.303346695950569, 0.30329868534511445, 0.3040607567765471, 0.30565658266209356, 0.3080625333462147, 0.311204178039402, 0.3149518073240279, 0.31911542430329715, 0.3234400927310813, 0.3276030113766128, 0.3312141519805205, 0.3338226549490495, 0.33493127321712624, 0.33402080362734043, 0.33058546150786616, 0.3241784284790156, 0.3144643975456897, 0.3012731825726392, 0.2846459845214974, 0.2648645822761191, 0.24245441397097173, 0.21815576623773333, 0.1928629090874965, 0.1675379151386973, 0.14311223461943803, 0.1203928141746993, 0.0999891824831975, 0.08227329528650722, 0.06737633168483297, 0.055218414140691625, 0.045560859715458014, 0.0380677085492611, 0.03236418107828469, 0.02808338464045277, 0.024897342456271284, 0.022532670416427758, 0.020774004269484777, 0.019459375773640018, 0.01847150190921897, 0.017727985914813508, 0.017172275000581046, 0.016766235234071097, 0.016484527729854814, 0.01631060024664715, 0.016233962509067314, 0.016248405321137534, 0.01635087689684002, 0.01654080214403973, 0.01681969569825865, 0.017190971557007842, 0.01765988833122583, 0.018233594229665428, 0.01892125129337906, 0.019734228640885934, 0.020686360006402317, 0.02179426433829077, 0.02307772902654998, 0.024560154850233017, 0.026269058718363193, 0.0282366253397186, 0.030500290465622894, 0.03310332644563763, 0.03609538376839979, 0.039532920228190556, 0.04347942128471421, 0.04800528269086234, 0.05318719104604907, 0.05910680520283056, 0.06584851832027966, 0.07349607901223461, 0.08212788382147962, 0.09181083876074748, 0.10259283717632461, 0.11449412138164182, 0.12749807625999215, 0.14154231570452425, 0.15651121219890263, 0.1722312129092352, 0.18847029843400148, 0.20494270533323478, 0.22131952041671168, 0.237244999719996, 0.25235757412831433, 0.26631364627978604, 0.2788116499107281]
9.2	1.89104826886194	[0.29429692730367946, 0.30340747894118025, 0.3104189858923753, 0.3153631622982586, 0.3183682031628356, 0.3196442346281206, 0.3194637530119865, 0.3181397422135651, 0.31600400489486086, 0.3133877201888497, 0.3106055117611105, 0.3079435476297015, 0.30565152620854813, 0.30393791309141477, 0.3029675010748155, 0.3028602593638899, 0.3036904778348971, 0.3054853623097872, 0.3082224653982789, 0.31182563302640975, 0.31615950865570563, 0.32102307655163925, 0.32614324678549006, 0.33117007403743737, 0.33567580313635653, 0.3391604306011071, 0.3410666763777644, 0.3408069272542773, 0.33780358805326294, 0.3315421858176794, 0.3216335644416365, 0.3078779800991194, 0.29032068466717786, 0.26928681283614203, 0.24538425188802965, 0.21946738223139348, 0.1925618770858199, 0.16575962813690026, 0.14010080908497852, 0.11646436265358823, 0.09548698707897643, 0.07752399937709864, 0.06265529318981568, 0.050729267071041216, 0.04143029954473322, 0.03435292068160937, 0.029068187539161856, 0.025173189056772485, 0.022320762093494394, 0.020231430666005315, 0.018692341789093132, 0.017548592226082686, 0.016691511220531578, 0.01604699595468538, 0.01556555137419694, 0.015214590793004907, 0.014972901274269645, 0.01482687869207834, 0.014768077097128851, 0.014791669331441517, 0.014895513225843012, 0.015079608638746259, 0.01534580688541785, 0.015697685565105503, 0.01614053866204759, 0.016681452903436388, 0.017329456417112414, 0.018095733059860373, 0.018993901745547992, 0.0200403619548784, 0.02125470843990236, 0.022660216803021088, 0.024284399867824512, 0.026159629240249775, 0.028323809001546827, 0.030821075560507234, 0.03370248057779958, 0.03702658912223865, 0.04085989443862866, 0.04527691182354742, 0.05035977137395993, 0.05619708504621695, 0.06288182829943299, 0.07050796091016578, 0.07916553520816337, 0.08893412035658116, 0.09987453030061132, 0.11201908898712241, 0.12536099758250158, 0.1398437507624109, 0.15535192449999813, 0.1717049313445573, 0.18865540867528424, 0.20589367187334315, 0.22305908392245974, 0.23975829219812952, 0.25558919339757097, 0.2701684130236886, 0.2831592777208853]
9.6	1.8081411930607438	[0.2987562805178085, 0.30801888191825516, 0.31500489093635, 0.3197549447738608, 0.32241735088575924, 0.32323090769048735, 0.32250212931652494, 0.32058009446969077, 0.31783190428033165, 0.31462105986546146, 0.3112901698773769, 0.30814848033068964, 0.30546394080580447, 0.30345896839612424, 0.30230876181677374, 0.30214092423729283, 0.30303522398409866, 0.30502250705557526, 0.3080820393237408, 0.3121368860710433, 0.31704733918408307, 0.3226028972171879, 0.3285139073610085, 0.33440468413339586, 0.3398106702461942, 0.34418286637698764, 0.3469030996995278, 0.3473134118815269, 0.34476158336977963, 0.33866232172426985, 0.3285699470865386, 0.31425398554877715, 0.29576497143914365, 0.2734754599257236, 0.24808231471403794, 0.220561704979788, 0.19207755233898302, 0.16385537426881983, 0.13704321663970448, 0.11258611113918701, 0.09113804112513207, 0.07302609324339444, 0.058268293231218835, 0.04663402116777724, 0.0377278813223992, 0.031076384304128676, 0.026201076025114376, 0.02266920695743069, 0.020120597496027265, 0.01827477935598168, 0.01692496483313281, 0.01592534111454112, 0.015176653969827212, 0.01461308595860425, 0.014191749251013092, 0.013884986878172014, 0.013675094212436196, 0.013550880648393536, 0.013505518314887315, 0.013535240088501207, 0.013638577303205808, 0.013815934528361773, 0.014069376418731662, 0.014402553184857258, 0.014820723633701283, 0.015330854362373391, 0.01594178546767145, 0.016664460176686744, 0.01751222007169612, 0.018501170033836518, 0.019650618129382392, 0.02098359536066365, 0.022527458204889758, 0.024314572491554706, 0.026383069521628187, 0.028777653153491355, 0.03155041845551115, 0.034761616908848186, 0.038480268820377805, 0.042784480139316725, 0.0477612696170534, 0.053505657425579535, 0.060118716552222444, 0.06770425759410138, 0.07636382612627045, 0.08618976439495912, 0.09725625120829441, 0.1096085040416371, 0.12325070624446847, 0.13813368035912874, 0.15414379727584404, 0.17109498200872883, 0.18872581742503844, 0.20670353165421962, 0.22463600980249682, 0.2420919191817363, 0.25862772461951294, 0.273819051396499, 0.2872928374772338]
10.0	1.7315100804920966	[0.3030206464581561, 0.31242786907228404, 0.3193802703987947, 0.32392772500934686, 0.32623932581761966, 0.326583370204725, 0.3253011503505375, 0.3227783481052894, 0.31941750512822714, 0.31561418814466813, 0.31173838027807327, 0.3081215397531022, 0.3050488758178716, 0.3027557756240953, 0.3014269985937185, 0.3011971782712627, 0.3021512807017474, 0.3043238885168807, 0.30769648080107825, 0.31219223826120013, 0.31766834449313014, 0.3239063003433284, 0.33060145673962765, 0.3373538000378515, 0.34366294168630973, 0.3489311160278854, 0.35247850372385103, 0.3535749810133782, 0.3514909994325136, 0.3455673811340606, 0.33529934435616116, 0.3204246217806295, 0.3010003884271737, 0.2774508014657708, 0.25056826055497244, 0.22145825673059724, 0.19142935136380365, 0.1618437334494704, 0.13395552481531575, 0.10876907336508249, 0.08694530073772506, 0.06877166532359204, 0.0541946478473276, 0.04289874504581194, 0.03440753569337161, 0.028182333123941975, 0.023700605211508338, 0.020506076395599915, 0.018231301127147374, 0.0165991650855079, 0.015411651849046035, 0.014533308594440214, 0.013874538042118122, 0.013377448811088105, 0.013005140213392512, 0.012734226059481742, 0.012549926085849202, 0.01244299675364032, 0.01240787813591022, 0.012441611405425143, 0.0125432241184736, 0.012713402199271633, 0.012954336892801966, 0.01326968882674697, 0.013664634496282997, 0.014145981879375566, 0.014722347561230878, 0.015404397303413607, 0.016205152456701472, 0.017140369856795082, 0.01822900147237611, 0.019493742584524326, 0.020961673593172542, 0.022664998920323143, 0.02464187746278436, 0.026937329231679963, 0.029604182768353155, 0.032704003240933456, 0.03630790251876427, 0.04049708635165407, 0.04536293299953049, 0.05100633371238302, 0.05753595871918679, 0.06506506640394334, 0.07370646190448568, 0.08356527359200959, 0.09472937415174418, 0.10725756504619595, 0.1211660656010209, 0.1364143870102235, 0.15289223971501786, 0.17040960858635137, 0.18869235679015775, 0.20738554075530574, 0.2260659133730721, 0.24426388835276958, 0.2614936790856496, 0.2772887344857597, 0.291238334285656]
10.4	1.6605373372469374	[0.30711337517730597, 0.31666021376026465, 0.323573357641935, 0.32791217357217667, 0.3298671503222682, 0.3297368521050738, 0.3278980547484103, 0.3247735078856353, 0.3208013043471092, 0.3164088071063743, 0.311992767689215, 0.3079060136979065, 0.30445005722187596, 0.3018723154972524, 0.3003663011974605, 0.30007310226993394, 0.30108261085310084, 0.30343323131933353, 0.30710912310053023, 0.3120344303037789, 0.31806441610239494, 0.3249740219822481, 0.3324451377727501, 0.34005483214614934, 0.34726789037716177, 0.35343807826040086, 0.35782326912824886, 0.35961945550025953, 0.3580171540989371, 0.3522803246218497, 0.3418425936958816, 0.3264089368465157, 0.30604464526584485, 0.28122976171202035, 0.25285879711582804, 0.2221739158575051, 0.1906342496004342, 0.15974096066021723, 0.1308515736650425, 0.10502223440436932, 0.08291016007472365, 0.06475213637813007, 0.050414429415059955, 0.039492197067634426, 0.031428177192449745, 0.025622380626108245, 0.021514124164379547, 0.018629801484542304, 0.016599891060310283, 0.015154197851859919, 0.014105414416260975, 0.013329094661482532, 0.012745128826537475, 0.012302972113004212, 0.01197102189966322, 0.01172952103782261, 0.011566094611187471, 0.011473053736665987, 0.011445828635169946, 0.011482074917024717, 0.011581186279450336, 0.011744040558742135, 0.011972895807640596, 0.01227138022039605, 0.012644557571465797, 0.013099052077306585, 0.01364323483541839, 0.014287470102331525, 0.015044430839444135, 0.015929488294118006, 0.016961188173331667, 0.018161820809893477, 0.01955809717000013, 0.021181934653024526, 0.023071355085141434, 0.02527148175573281, 0.027835608904460876, 0.030826285702058254, 0.03431632259685749, 0.038389571374909774, 0.04314126901351232, 0.04867765365968888, 0.05511448620265818, 0.06257403825552188, 0.07118008352082203, 0.08105046582682035, 0.09228697828810617, 0.10496258392659126, 0.11910648506899732, 0.13468815515936883, 0.15160213796229394, 0.16965601707986475, 0.1885643080550906, 0.20795088263453942, 0.22736180007381054, 0.2462890387329737, 0.26420381730836545, 0.2805962777178389, 0.2950167859980373]
10.8	1.5946728472832092	[0.31105355066576645, 0.32073691691809786, 0.3276071010026108, 0.3317331609316556, 0.3333275390491451, 0.33271978185726153, 0.33032281142914727, 0.3265968735655535, 0.322015702466848, 0.31703818073385853, 0.3120872342941909, 0.30753624219420167, 0.3037021004578876, 0.3008433563082863, 0.2991615062701359, 0.2988035414802684, 0.29986401750275, 0.30238523220317043, 0.3063544601704166, 0.311697607439576, 0.31826914871349266, 0.3258388515891854, 0.33407664414790555, 0.3425380791371391, 0.35065414595077343, 0.3577304979214106, 0.3629621221459547, 0.36546950212274404, 0.36436070275546373, 0.3588199271839437, 0.34821680072321837, 0.33222267291435054, 0.31091253260151647, 0.2848266849187032, 0.2549683239896394, 0.2227234458897036, 0.18970721233983426, 0.15756134405792988, 0.12774327885877532, 0.10135281894643064, 0.0790326781467758, 0.06095841899773252, 0.04690848450553977, 0.03638560516254083, 0.028753121005254796, 0.023354474025409803, 0.01959699259689218, 0.01699564287306962, 0.015183366065880277, 0.013899704546750505, 0.012969319844330501, 0.012278938298608232, 0.011757479007150594, 0.011361052874247868, 0.011062656468976105, 0.010845577424871288, 0.010699397458190459, 0.010617665579958873, 0.010596582514398717, 0.010634274157670294, 0.010730403021715077, 0.010885976565312426, 0.011103276672248998, 0.011385871535090169, 0.011738691649645886, 0.012168163046715247, 0.012682397575268511, 0.013291444359631165, 0.014007609634260426, 0.014845854550962996, 0.01582428235729472, 0.01696472740382404, 0.018293458284376802, 0.01984200528181708, 0.021648116988673975, 0.023756840836888136, 0.026221705073161915, 0.029105952732621985, 0.03248373836199516, 0.03644114289254468, 0.041076789765840435, 0.04650175790791858, 0.05283839171983648, 0.06021752073122915, 0.06877354888471197, 0.07863689451942689, 0.08992340473690165, 0.10272067903795888, 0.11707174592138021, 0.1329572297301301, 0.15027794444584272, 0.1688405977977855, 0.18834975602362108, 0.20840915847337121, 0.22853469275655275, 0.24817980976144347, 0.26677206171218304, 0.2837572008744803, 0.29864543706978813]
11.200000000000001	1.533427458232375	[0.3148569664522209, 0.32467530066050293, 0.3315003752197187, 0.3354110910906426, 0.3366423525984109, 0.3355553613865691, 0.3325998101008076, 0.32827384269861276, 0.323086908633359, 0.3175291339150748, 0.31204903840198916, 0.30703976354002616, 0.30283270656354194, 0.29969668533346916, 0.2978404455046821, 0.29741635490110113, 0.298523376139495, 0.3012077598729057, 0.30546029733185365, 0.3112094070156364, 0.31830985029257075, 0.3265275528953046, 0.3355219411648042, 0.3448284400489218, 0.3538452915749017, 0.3618304424751251, 0.36791548872068014, 0.37114386353896167, 0.37053874633636075, 0.3652017649678087, 0.3544362107317988, 0.33787902504285816, 0.3156165777280604, 0.2882538919541392, 0.2569094039922613, 0.22311988848302272, 0.18866152938745023, 0.1553174921764204, 0.12464089493866737, 0.09776653297739857, 0.07531180053094655, 0.057381077201920996, 0.043658476469794774, 0.0335524929292386, 0.026349607187396797, 0.021342029044831543, 0.017911302871917695, 0.015566435641717051, 0.01394669917292658, 0.012803488407434298, 0.011974135611165518, 0.011356334679793117, 0.010887399876265727, 0.010529359571234872, 0.010259150336855706, 0.010062586281636381, 0.009930833812352073, 0.009858424483396695, 0.009842162096355661, 0.009880533173288042, 0.009973399274023596, 0.010121851770776982, 0.010328167606574776, 0.010595835854251239, 0.010929641835888342, 0.011335804819487155, 0.011822170953758428, 0.012398466848349495, 0.013076622204815955, 0.01387117237434674, 0.014799753884308181, 0.015883707511918536, 0.017148804060314868, 0.01862610671431162, 0.020352979609328036, 0.02237424317341452, 0.024743460572808552, 0.02752431301928733, 0.03079198126589625, 0.034634392636200294, 0.03915311498595898, 0.04446358145223354, 0.05069421903488193, 0.05798394541451127, 0.06647742044795356, 0.07631743453177309, 0.08763394125616276, 0.10052955486165441, 0.11506187632438523, 0.13122378301396062, 0.1489237384760648, 0.16796907755688156, 0.18805583659577765, 0.20876872926198764, 0.22959407336571616, 0.2499467823998048, 0.26921014297384993, 0.28678447992652734, 0.3021386220588919]
11.600000000000001	1.4763664566506642	[0.3185368375080783, 0.32848980487723267, 0.3352688669072269, 0.338962874663078, 0.3398296604763351, 0.33826271544241643, 0.33474909626553073, 0.3298252247384936, 0.32403632941773747, 0.3179035062129664, 0.31190030549563885, 0.3064388704399898, 0.3018642535080467, 0.29845472200165696, 0.2964255698307364, 0.29593403713683253, 0.29708324342189335, 0.2999234380911381, 0.3044492985783094, 0.310592458837345, 0.31820898650090973, 0.3270622433612403, 0.3368025730797798, 0.34694664335744013, 0.3568610100277147, 0.36575636230545067, 0.3727004667313273, 0.37665824299946893, 0.37656562820911244, 0.37143892788867816, 0.3605128381425122, 0.3433891937466219, 0.32016752242732965, 0.29152209257637585, 0.25869311353024527, 0.2233748653836289, 0.18750907552178195, 0.15302057180417009, 0.12155323732127991, 0.09426778219263622, 0.07174555701928918, 0.05401047744622658, 0.04064692209356741, 0.030968533834335798, 0.02418838704167991, 0.01955320484482287, 0.016424821348992785, 0.014311239674653106, 0.012861257424797063, 0.011839615553646547, 0.011096560832381887, 0.010540290176851423, 0.010115779294797317, 0.009790243909540444, 0.00954395923255803, 0.009364822109768373, 0.009245278466783639, 0.009180641773425816, 0.009168190310480464, 0.00920668975780248, 0.009296149251397559, 0.009437711676985814, 0.009633628881183152, 0.009887298698866407, 0.010203354416496883, 0.010587804952824312, 0.011048228743837289, 0.011594027784245219, 0.01223675115513164, 0.012990500050013329, 0.013872428759748215, 0.014903358171196293, 0.016108519576614157, 0.01751844626465696, 0.01917002719088713, 0.02110772922179452, 0.023384979378099583, 0.026065672793172727, 0.029225731535861107, 0.032954579606474736, 0.03735631655331084, 0.042550265357337386, 0.04867044429539591, 0.055863382302221896, 0.0642835921631471, 0.07408598271628535, 0.0854145935268274, 0.09838734398831595, 0.11307706053815464, 0.12948989178910997, 0.14754326872785745, 0.16704662997215025, 0.18768891364077248, 0.20903696320840276, 0.23054820048786437, 0.2515990715626093, 0.27152806726850015, 0.2896890941407098, 0.3055083926443923]
12.000000000000002	1.4231033913909943	[0.3221043287164842, 0.3321925804788079, 0.3389257329525472, 0.3424026538950267, 0.3429045317060448, 0.3408577473275521, 0.3367872888506235, 0.3312682175479888, 0.3248815984864411, 0.31817922913898694, 0.3116591452749221, 0.30575175941704363, 0.3008149689348193, 0.29713570572633674, 0.29493514306151564, 0.2943749095945696, 0.29556203704856576, 0.29855080636725567, 0.3033401199296106, 0.3098654840140031, 0.3179852379608405, 0.32746140380723815, 0.3379366196938588, 0.3489101461636179, 0.35971792230639416, 0.3695238664222657, 0.37733153800589964, 0.3820259522403513, 0.38245351929421567, 0.3775425430396267, 0.3664569313570114, 0.34876279350847694, 0.32457467997405415, 0.2946406943636514, 0.26032931061875386, 0.22349881144413677, 0.18626051976830355, 0.15068050252469145, 0.11848787388942277, 0.09085986084903828, 0.06833123816579537, 0.05083691701517329, 0.037857220848259224, 0.02861141282396462, 0.022243360963929693, 0.01796028032073033, 0.015110109260988892, 0.01320424181168073, 0.01190355474708343, 0.010987090087196694, 0.010317893894858637, 0.009814028958046546, 0.00942735864308775, 0.009129596206821838, 0.008903822291039391, 0.008739644559773975, 0.008630541330986197, 0.008572452042788625, 0.008563030813943977, 0.008601262098713638, 0.008687264298992203, 0.008822208908751092, 0.009008308522439508, 0.009248862533174982, 0.009548348836198978, 0.00991256594564267, 0.010348825755807364, 0.010866207403360275, 0.011475879551816715, 0.012191506489094504, 0.013029751613422976, 0.01401089858796321, 0.01515960864986099, 0.016505836623078668, 0.018085922899987655, 0.019943875350498175, 0.022132838372920426, 0.02471672485583721, 0.02777194353914125, 0.0313890964750738, 0.03567443098173355, 0.04075071884329192, 0.04675709112379247, 0.05384720923464779, 0.06218501439017477, 0.07193723730914248, 0.08326191839848114, 0.09629249195697931, 0.11111757442353229, 0.12775752157319314, 0.1461399864408648, 0.16607795698969852, 0.1872547105556615, 0.2092204178563766, 0.2314043446560706, 0.25314461564790447, 0.27373446296822296, 0.29248043108383887, 0.3087649838651161]
