I_value	Tstar	ystar
9.00666419935816	1.5909168486389897	[0.15036467436238538, 0.1955595458439969, 0.2512819549437424, 0.3183721465143487, 0.3969747287517062, 0.48621904491609835, 0.5839269877746522, 0.6864224326645466, 0.7885255735175153, 0.8838040157871094, 0.96511464844372, 1.0254077876980459, 1.0586898789524017, 1.0609746255301324, 1.03101981739315, 0.9706673906284778, 0.8846806711087051, 0.7800882076910943, 0.6651642083560305, 0.5482627004870501, 0.43674798896775086, 0.3362216400757304, 0.2501539443749684, 0.17991915004530667, 0.125143610853258, 0.08422744075246295, 0.05489823909210327, 0.03468884535251232, 0.021280642690445734, 0.0127011535804129, 0.007397802583218717, 0.004225321081533833, 0.0023852534355135505, 0.0013482373461393428, 0.0007789176727838422, 0.0004734743462896657, 0.0003126455810155773, 0.00022903193920493356, 0.00018573359874233665, 0.00016312195167244285, 0.0001510215310326943, 0.0001442753739539804, 0.00014031946087524595, 0.000137898185114104, 0.0001364032581787239, 0.00013554190308870216, 0.0001351739173730637, 0.00013523314097068688, 0.00013569021202421025, 0.00013653515888525426, 0.00013776940929053366, 0.0001394022419512918, 0.00014144935782861234, 0.00014393249543058167, 0.00014687961394403156, 0.00015032543648938878, 0.0001543122850864293, 0.00015889119805260527, 0.00016412336565821227, 0.000170081941591251, 0.000176854320793433, 0.00018454499908310848, 0.00019327917447953933, 0.00020320729503808368, 0.00021451083120779176, 0.00022740963581150027, 0.0002421713839672432, 0.00025912374739893603, 0.0002786701949976289, 0.0003013106231699428, 0.00032766846846140875, 0.00035852656136370554, 0.00039487484805558477, 0.0004379743008159939, 0.0004894430423309543, 0.0005513730805089045, 0.0006264894283155398, 0.0007183681049412397, 0.0008317362080712494, 0.0009728865808279873, 0.0011502526900825226, 0.0013752073772167748, 0.0016631739474088562, 0.0020351713810215794, 0.00251995957902298, 0.0031570069337545554, 0.004000572054022057, 0.005125271458001864, 0.006633588424286887, 0.00866584726032347, 0.011413201187348163, 0.01513410667285352, 0.020174503196911796, 0.0269913725063856, 0.03617838301430494, 0.04849079677072133, 0.06486465141608301, 0.08642248639019633, 0.11445489483528234]
8.77572409168231	1.6392500318354875	[0.15611295802508932, 0.20165773175746735, 0.2574299693449757, 0.3241449063617062, 0.40182979078081865, 0.48952937194464335, 0.5850431784387425, 0.6847628638895209, 0.7836846248249038, 0.8756596807818294, 0.9539103680976626, 1.0117825394285305, 1.0436377354577506, 1.0457299947723326, 1.0168840673017052, 0.9588105678101705, 0.8759619722718365, 0.7749363047927972, 0.6635433995404068, 0.5497278877294511, 0.44056846793843, 0.3415382539543898, 0.25613066727347866, 0.1858582250462187, 0.13054853718687565, 0.0888142600258574, 0.058567558938709165, 0.037476375229453275, 0.02330309640469415, 0.014109485376875022, 0.008343657220978148, 0.004841422993692567, 0.0027772532783366223, 0.0015942960453207019, 0.0009334805965642942, 0.0005725708130849082, 0.0003790795870390718, 0.0002766861687445118, 0.00022277936556711983, 0.00019423417633421562, 0.00017881601995165113, 0.00017019536197001615, 0.0001651595348044945, 0.00016210284597744737, 0.0001602318758782721, 0.00015915756354732604, 0.00015869033038986587, 0.00015873910595524195, 0.00015926234798143178, 0.00016024463987586253, 0.00016168568455791633, 0.00016359528525683077, 0.0001659912157125506, 0.00016889854057610036, 0.0001723497033210145, 0.00017638509891776708, 0.00018105400628537163, 0.0001864158689805758, 0.00019254194356302598, 0.00019951739081432645, 0.0002074438985589964, 0.00021644297901318572, 0.00022666010988957924, 0.0002382699634787147, 0.00025148302618031236, 0.0002665540307221644, 0.0002837927426719314, 0.000303577849098234, 0.0003263749332606904, 0.0003527598921007632, 0.00038344961561000883, 0.0004193424443525992, 0.0004615718282572251, 0.0005115779438705831, 0.000571203813230422, 0.0006428250566937487, 0.0007295259341377764, 0.0008353393773337038, 0.000965575622369395, 0.001127273822070721, 0.0013298243197406232, 0.0015858277256740078, 0.0019122816150974904, 0.002332218838343564, 0.0028769640910969903, 0.003589229551147921, 0.0045273346891412615, 0.005770907760528433, 0.0074284963637813745, 0.00964756552259416, 0.012627358904579519, 0.016634992746022856, 0.022024861965289397, 0.029260866426850357, 0.03893998804936087, 0.05181426465605599, 0.06880615799971375, 0.09100980768065588, 0.11966803697178503]
8.54478398400646	1.6906625993774822	[0.16202873773679216, 0.20787557096059187, 0.26363457723203915, 0.3298994741434403, 0.406586247675495, 0.492663165836196, 0.5859161466494612, 0.6828120493989341, 0.7785270590197714, 0.8671950255302311, 0.9423975450368853, 0.9978661209697528, 1.0283068522535435, 1.0302066547748199, 1.0024559060125549, 0.9466397662461852, 0.866911362325966, 0.7694515210302956, 0.6616161515422848, 0.5509442406313219, 0.444224427807335, 0.3467899965390956, 0.2621426193309211, 0.19191887932354756, 0.1361375624730261, 0.0936196418730411, 0.06246329908952039, 0.04047710655327783, 0.02551187727821483, 0.01567092689776344, 0.009408926162302246, 0.0055466259343264716, 0.0032333521345222368, 0.0018852012181783818, 0.0011188863703148785, 0.000692806869976246, 0.0004602041619240284, 0.00033489465159133706, 0.0002678040526370901, 0.00023175924333323393, 0.0002120870669002609, 0.00020103773455366184, 0.00019459518944799954, 0.00019071042065540037, 0.00018835044185640056, 0.00018699891432256963, 0.00018639965036244214, 0.00018642725953412663, 0.0001870230226803999, 0.00018816350963076885, 0.00018984551214962488, 0.00019207894613453225, 0.00019488374321436857, 0.00019828869836646906, 0.00020233141359158425, 0.0002070588520778547, 0.00021252838757710062, 0.00021880924551218592, 0.0002259844107068524, 0.0002341530205436454, 0.00024343340079202192, 0.0002539668479792789, 0.0002659224060575859, 0.0002795028579313266, 0.00029495232965764153, 0.0003125659264296539, 0.00033270206767799075, 0.00035579829861375346, 0.00038239174122265773, 0.00041314562622560757, 0.00044888399619744015, 0.0004906372762407216, 0.000539702562398633, 0.0005977237278212108, 0.0006667985749766235, 0.0007496227759459666, 0.0008496843475682705, 0.0009715273765785494, 0.0011211112779250555, 0.0013063014805908162, 0.0015375415484444616, 0.001828774698625349, 0.0021987080458606206, 0.0026725444673195288, 0.003284349298677899, 0.004080268708147729, 0.005122877351627438, 0.006496994301351129, 0.00831736556408642, 0.010738640109377168, 0.013968042610162202, 0.018281004843494836, 0.024039703465736573, 0.0317138508673541, 0.04190212123820275, 0.05535115021813508, 0.07296714250272326, 0.09581283870836095, 0.12508034423991493]
8.313843876330608	1.745456968049008	[0.16811078092269832, 0.21420747937995746, 0.2698860401520083, 0.33562253730542657, 0.41122811081306104, 0.49560281387716587, 0.5865276760141059, 0.680551961684932, 0.7730354985471962, 0.8583934335885184, 0.9305601870325142, 0.9836429093707519, 1.0126817247164528, 1.014388999779061, 0.9877194039945216, 0.9341384459265952, 0.8575113611767458, 0.7636151993782514, 0.6593627227942597, 0.5518915716252518, 0.4476964927590956, 0.3519600189039151, 0.26817728040707584, 0.19809434889593389, 0.14191034986867565, 0.09864942069040637, 0.06659636929172992, 0.043705378864594975, 0.02792293861420319, 0.01740140481464824, 0.010608274153317287, 0.006353588775346738, 0.003763915015719588, 0.0022290831497497406, 0.0013413041447834656, 0.0008387595305248913, 0.0005593814700210073, 0.0004061389581001386, 0.0003226777430170531, 0.00027715769125717416, 0.0002520289291679073, 0.00023782775799073468, 0.00022954641360480407, 0.00022457634090049944, 0.00022157538823460045, 0.00021985944380958726, 0.0002190826021092209, 0.00021907230877244824, 0.00021974562429469792, 0.00022106743240845613, 0.0002230297829497907, 0.00022564201145922711, 0.00022892614366307518, 0.00023291512342636805, 0.00023765243225693885, 0.0002431926450896167, 0.00024960252510596904, 0.0002569626979105119, 0.00026536979246055714, 0.0002749392343111266, 0.0002858086994698619, 0.0002981425060251269, 0.00031213706528448684, 0.0003280277980438992, 0.0003460978081069796, 0.00036668894338665747, 0.000390215831157968, 0.00041718392548134825, 0.00044821268678695475, 0.0004840656821969839, 0.0005256897168047194, 0.0005742661845631582, 0.0006312786164437893, 0.0006986022555913625, 0.0007786231928365011, 0.0008743979080007116, 0.000989867538984439, 0.0011301472437068693, 0.0013019178529400793, 0.0015139580372700444, 0.0017778681219653466, 0.0021090563339785265, 0.0025280813180580735, 0.003062477870772678, 0.003749230267153149, 0.004638107323066609, 0.005796123699933752, 0.007313449535185716, 0.009311129314953641, 0.011950988819698584, 0.015448050905314708, 0.020085624425737577, 0.02623287525810351, 0.03436409104493296, 0.04507787773244179, 0.05911317180420183, 0.07735715756480911, 0.10083817316279096, 0.13069474564996447]
8.082903768654758	1.8039757288463172	[0.1743568700691991, 0.22064663056516415, 0.2761731846241361, 0.34129923440960286, 0.4157377891453671, 0.49832910124595475, 0.5868579700054084, 0.6779630283333893, 0.7671910459658319, 0.8492367882328559, 0.9183808067190883, 0.9690957886434836, 0.9967453487536573, 0.9982599170595403, 0.9726571091265819, 0.9212885224700949, 0.8477429072308931, 0.7574070461115878, 0.6567616563620722, 0.5525478855316451, 0.45096339733039265, 0.3570295553984259, 0.2742202934091322, 0.20437626399551664, 0.1478653546890891, 0.10390876373860444, 0.0709776333298672, 0.04717610323690735, 0.03055333584982971, 0.019318330514108667, 0.011958058290312601, 0.007276702882747286, 0.0043809453892931635, 0.002635528023005014, 0.0016081338956875043, 0.0010160064052890218, 0.0006807642954516202, 0.000493514725770415, 0.0003897453877123898, 0.0003322606217706742, 0.00030013162686395314, 0.0002818346368390542, 0.0002711423610893419, 0.0002647424036757645, 0.00026089496615011554, 0.00025869535961545897, 0.0002576771837341519, 0.0002576031486182913, 0.0002583562862647782, 0.00025988447894006306, 0.0002621723233136507, 0.0002652273843527293, 0.00026907352341644744, 0.0002737481803904914, 0.00027930151010702804, 0.00028579685964570385, 0.0002933118893244206, 0.0003019404842170192, 0.00031179516242124824, 0.00032301031278304045, 0.0003357461348465786, 0.00035019371841734574, 0.0003665812746945736, 0.00038518209954825075, 0.00040632447437925426, 0.0004304043378151792, 0.00045790125739214105, 0.000489398992989946, 0.0005256117591766479, 0.0005674183160022508, 0.0006159060587706054, 0.0006724287808529614, 0.0007386822685459079, 0.0008168042747594044, 0.0009095067790976372, 0.0010202524505293024, 0.0011534902884485778, 0.0013149723686326094, 0.0015121798684784216, 0.0017548986965498054, 0.0020559969579862255, 0.002432477323773464, 0.0029068983758096687, 0.0035092927712833573, 0.004279742996998339, 0.0052718239362465735, 0.006557162193108291, 0.008231413794781007, 0.010421982065311046, 0.013297802327992974, 0.017081432286701108, 0.02206351380940723, 0.028619285588704926, 0.03722623313582234, 0.04848099777800592, 0.06311240182009374, 0.08198578185563457, 0.10609207923789843, 0.13651350154594255]
7.851963660978908	1.8666083821387274	[0.18076363737899007, 0.22718477183538155, 0.28248321114113534, 0.34691295600552197, 0.4200958909991637, 0.5008210093885737, 0.586885453758104, 0.6750239315102127, 0.7609730870493316, 0.8397052738306479, 0.9058402263338767, 0.9542059531339296, 0.9804790264084907, 0.9818005905098101, 0.9572498502596952, 0.9080701670494941, 0.8375851544079361, 0.7508049218525334, 0.6537895645002504, 0.5528891546671992, 0.45400175097380874, 0.3619776768705024, 0.28025520965498213, 0.21075439482546712, 0.1539995854181331, 0.10940196700179555, 0.07561776099959296, 0.0509046882126895, 0.03342123637238301, 0.021440693039658315, 0.01347649268851029, 0.008332309244417056, 0.005098331752158107, 0.0031158316927591997, 0.001928249125502349, 0.0012313449367438297, 0.0008294853134279182, 0.0006008895790981191, 0.00047195544523015985, 0.00039937320596858465, 0.00035826412904621703, 0.0003346391344786017, 0.0003207774883455813, 0.0003124847759746753, 0.0003075116261004118, 0.00030466422380322856, 0.00030331484991851545, 0.0003031375284274781, 0.0003039676485525452, 0.00030572843626668425, 0.0003083930467514936, 0.0003119653195765485, 0.000316470374609537, 0.0003219503333514325, 0.00032846287647362335, 0.00033608138475719253, 0.0003448961702227137, 0.0003550164992201686, 0.00036657341462826843, 0.00037972335513134853, 0.0003946527635836751, 0.0004115838382581039, 0.00043078176668305356, 0.0004525637705847767, 0.00047731051665882927, 0.0005054805007026688, 0.0005376283300693979, 0.0005744280003640771, 0.0006167027538165152, 0.0006654634959396071, 0.0007219585627357186, 0.0007877384281088568, 0.0008647403584940963, 0.0009553995857340973, 0.0010627961000750864, 0.0011908491589464956, 0.0013445761756247926, 0.0015304382585956495, 0.0017568028727636582, 0.0020345642865166737, 0.002377976815182086, 0.002805773529831555, 0.0033426668538546556, 0.004021355585965525, 0.004885198181177546, 0.005991750060800948, 0.007417403934818824, 0.009263404688935129, 0.011663527399775034, 0.014793680533927277, 0.018883603236873475, 0.024230611463702673, 0.031214968782330172, 0.04031583690916574, 0.05212586105697562, 0.06736122409636755, 0.08686253834672465, 0.11158038562458912, 0.14253805848366294]
7.621023553303058	1.9337994417971076	[0.18732637005873082, 0.23381200895779874, 0.2888014705970009, 0.35244511183116656, 0.42428099175328704, 0.5030554798027888, 0.5865865412529815, 0.6717113728003244, 0.7543590595462336, 0.82977714307003, 0.8929173487689059, 0.9389526773809831, 0.9638621383240825, 0.9649902710118973, 0.9414765076414439, 0.8944615727127132, 0.8270152351856239, 0.7437845977234261, 0.6504208774235798, 0.5528890567519223, 0.45678576394706305, 0.36678100331947266, 0.28626319180886256, 0.217216353203719, 0.16030831989850855, 0.11513220731404951, 0.08052704019161559, 0.05490693313043884, 0.0365459074158979, 0.02378914359394153, 0.015183819425940973, 0.009538936213889565, 0.005932126912408974, 0.003683294988060632, 0.0023122859095901236, 0.0014930591651672917, 0.0010118919212462126, 0.000733102647468258, 0.0005730249344839253, 0.00048140923211120664, 0.00042878341493991464, 0.00039822265038254106, 0.00038018543779407146, 0.00036937691744779003, 0.00036289712030486366, 0.0003591747814239318, 0.0003573667531155985, 0.0003570260582613814, 0.00035792143585778756, 0.0003599406555262142, 0.00036303944353544357, 0.00036721494374707076, 0.00037249231296945063, 0.00037891835962866637, 0.0003865590493222214, 0.0003954992340334466, 0.00040584380777614233, 0.0004177199196766344, 0.00043128013849703294, 0.00044670659584804994, 0.0004642162535622606, 0.0004840675152102574, 0.0005065685074128452, 0.0005320874510725272, 0.0005610656920213724, 0.0005940341233797883, 0.0006316339781355633, 0.00067464326538985, 0.0007240105512884358, 0.0007808983243694313, 0.0008467389465928037, 0.0009233071789598575, 0.0010128146464408931, 0.001118033420140397, 0.001242458394585101, 0.0013905214548591, 0.0015678749539327582, 0.0017817680131148616, 0.0020415472175899646, 0.002359323822223846, 0.0027508634368150894, 0.003236771808328746, 0.0038440726016608666, 0.004608300017272383, 0.005576260605586107, 0.006809652614382951, 0.008389764068871234, 0.010423494248277444, 0.013050944756992528, 0.01645478440600674, 0.020871477281274548, 0.026604233746247735, 0.03403715144753533, 0.043649404017693606, 0.05602747085333543, 0.07187227626735872, 0.0919967925884777, 0.11730834387837545, 0.14876887694393554]
7.390083445627208	2.006058236650844	[0.19403877503261605, 0.24051655734095728, 0.29511119587824447, 0.35787486231754406, 0.42826935469586913, 0.5050071411472081, 0.5859353552615841, 0.667999800981303, 0.7473241753434887, 0.8194284469047449, 0.8795888832019211, 0.9233130483227443, 0.9468718719920305, 0.9478060084755331, 0.9253137399740283, 0.8804386812707088, 0.8160079803808268, 0.7363194702873429, 0.6466275477339598, 0.5525186687833583, 0.45928692621383715, 0.371413368377184, 0.29222266572762007, 0.22374724144796002, 0.16678476733997075, 0.12110124121536958, 0.08571513949260778, 0.05919887966171405, 0.03994767408614747, 0.026386065349111858, 0.017102482253086696, 0.010917557179997945, 0.006900862735295181, 0.004353566064223207, 0.0027729865593960025, 0.0018112437936570504, 0.0012358375947797895, 0.0008962165645104738, 0.0006976515916462092, 0.000582066279755466, 0.0005146781365612857, 0.0004750851083374537, 0.0004515371356412583, 0.0004373727282072733, 0.0004288650143189462, 0.00042395185776974417, 0.00042150358796157596, 0.0004209085887290018, 0.0004218427648789679, 0.00042414304130248176, 0.00042773901221266594, 0.0004326164788635423, 0.00043879855348324693, 0.00044633625766522583, 0.0004553045071540745, 0.00046580110414927325, 0.00047794772266948333, 0.000491892222739973, 0.0005078122048613223, 0.0005259196900580094, 0.0005464671653756405, 0.000569755133695594, 0.0005961416220028829, 0.0006260540231368786, 0.0006600040003826151, 0.0006986061782806305, 0.0007426018040951619, 0.0007928886941050881, 0.0008505594455543336, 0.000916950270107049, 0.000993703846773012, 0.0010828504147178944, 0.001186913045060332, 0.0013090446695562016, 0.001453207370030042, 0.0016244075412042511, 0.0018290055805401586, 0.0020751244370125193, 0.0023731899646183313, 0.0027366459547478895, 0.0031829009671774764, 0.0037345803451340163, 0.004421178769641934, 0.005281232502264668, 0.006365159819810803, 0.007738945439336944, 0.009488871728339997, 0.011727510408997282, 0.014601178848902273, 0.018299003891434212, 0.023063607591657855, 0.02920318115183558, 0.03710432056599135, 0.0472443972953332, 0.060201427749619486, 0.07665836988888498, 0.09739762970707083, 0.12328045764407805, 0.15520523004969466]
7.159143337951358	2.0839708285686105	[0.20089270491745592, 0.24728444022096155, 0.30139319072507526, 0.3631787931822219, 0.4320346071197053, 0.506647977813866, 0.584903401588247, 0.6638610813878184, 0.7398410966237841, 0.8086327074712131, 0.8658290246529797, 0.9072616423993701, 0.9294829036483722, 0.9302223304472768, 0.9087356642288091, 0.8659748574896189, 0.8045355898725738, 0.7283802231192597, 0.6423787028454172, 0.5517461052090545, 0.46147363009445025, 0.37584542398992626, 0.2981089106068079, 0.23032923655001966, 0.17341966438116946, 0.1273090382050064, 0.0911908090789273, 0.06379660991829436, 0.04364783693149657, 0.02925562034445197, 0.019257297457761557, 0.012491866533903377, 0.008025902240329818, 0.00514503595013533, 0.003325606921498419, 0.0021981975274360127, 0.0015110428368978394, 0.0010978360427280058, 0.0008517865577891133, 0.0007060545221396491, 0.0006197582696970317, 0.0005684020459194616, 0.0005375717627607278, 0.0005189176594943773, 0.0005076669457499814, 0.000501122067113749, 0.0004977738071991636, 0.0004967874536542745, 0.0004977100413098898, 0.0005003059819934847, 0.0005044660366808052, 0.000510157637090847, 0.0005173983401391586, 0.0005262421955399019, 0.0005367734056054597, 0.0005491042228250535, 0.0005633754883207469, 0.0005797590066058277, 0.0005984614236250697, 0.0006197295356646967, 0.0006438571491572594, 0.0006711937393165227, 0.0007021552978370457, 0.0007372378915625226, 0.0007770346374063278, 0.0008222570053976491, 0.0008737616555257863, 0.0009325843730918578, 0.0009999831687749988, 0.0010774932462947015, 0.0011669974164250818, 0.001270816670640933, 0.0013918271720419807, 0.0015336119410686534, 0.001700658237649081, 0.0018986152094773543, 0.002134631133228638, 0.002417795762403554, 0.0027597214010528625, 0.0031753066737147738, 0.0036837401348690088, 0.0043098170869442605, 0.005085662580505195, 0.006052976035166528, 0.007265937268081781, 0.008794936969933838, 0.010731312067871712, 0.013193269010315093, 0.016333152831758808, 0.020346146832674893, 0.025480340941011564, 0.03204785264777648, 0.04043628748616841, 0.05111925346131514, 0.06466388291237316, 0.08173239000146734, 0.10307369642041063, 0.12950028031917046, 0.16184495632653048]
6.928203230275508	2.1682145858976436	[0.2078778250597438, 0.25409913253340577, 0.30762545357334387, 0.36833053198876925, 0.4355473483965463, 0.507946938753269, 0.5834591744101139, 0.6592641049475527, 0.7318795436276527, 0.7973605305879088, 0.8516090663323327, 0.8907701421537496, 0.9116670142300487, 0.91221085987147, 0.8917134704327881, 0.8510405016138751, 0.7925672383730636, 0.719934424999961, 0.6376402310738147, 0.5505360895165321, 0.4633107230984364, 0.380044173288286, 0.30389357363509256, 0.23694109610622105, 0.18020079049036714, 0.13375333340495588, 0.09696150461614712, 0.06871597614964828, 0.047668535490650796, 0.03242376193143063, 0.02167561402671815, 0.01428856998415003, 0.009331830297145112, 0.006079292980116421, 0.003988397820326498, 0.00266889928927845, 0.001849542147558339, 0.0013475102514375484, 0.0010429853815851796, 0.0008593958381457342, 0.0007489065275653562, 0.0006822347169941225, 0.0006417730597782413, 0.0006170983067161916, 0.0006021220021691745, 0.0005933281979083117, 0.0005887073389692649, 0.0005871236837469048, 0.0005879461888641858, 0.000590836320974832, 0.0005956276948179558, 0.0006022587826018776, 0.0006107359615620515, 0.0006211138984075547, 0.0006334858574685254, 0.0006479798685422966, 0.0006647584967114486, 0.0006840210925598535, 0.0007060079574185515, 0.0007310062880865626, 0.0007593579485836827, 0.0007914693509538901, 0.0008278238321096425, 0.0008689971334221401, 0.000915676731556632, 0.000968686063950944, 0.001029014949275166, 0.0010978579616652594, 0.0011766629914642143, 0.0012671929816051523, 0.0013716046893837875, 0.001492549606452017, 0.0016333037107390735, 0.0017979349250670032, 0.0019915198767192794, 0.0022204253195136007, 0.002492674282560037, 0.0028184233468016968, 0.0032105853141257564, 0.0036856417919963755, 0.004264702629084408, 0.004974884572569087, 0.005851099150320863, 0.006938359861585548, 0.00829473870621074, 0.009995119959048894, 0.012135908092450657, 0.01484083971169264, 0.018268011268377786, 0.0226181488656244, 0.028143986992543613, 0.03516036390432419, 0.04405424970469403, 0.05529338050938752, 0.06943147110855982, 0.08710716098121964, 0.10903300711858781, 0.13597016406946968, 0.16868416513845386]
